Gene Set,ES,NES,P-value,FDR
hsa04512_ECM-receptor_interaction,0.26137448415268816,1.5899834876413819,0.0,0.0
hsa05321_Inflammatory_bowel_disease,0.24854274632394513,1.526648621047605,0.0,0.0
hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor,0.25264731061014384,1.568414058089004,0.0,0.0
hsa05414_Dilated_cardiomyopathy,0.2448985692672503,1.525767756295161,0.0,0.0
hsa05332_Graft-versus-host_disease,0.306659420475367,1.8199237540952191,0.0,0.0
hsa05150_Staphylococcus_aureus_infection,0.24613457717138715,1.5116459287072752,0.0,0.0
hsa04620_Toll-like_receptor_signaling_pathway,0.2708903431223208,1.7003106529185301,0.0,0.0
hsa04650_Natural_killer_cell_mediated_cytotoxicity,0.25322759839408443,1.580313726464425,0.0,0.0
hsa05135_Yersinia_infection,0.25863606082188717,1.5924649037759964,0.0,0.0
hsa00640_Propanoate_metabolism,-0.5091657803421903,-2.796195937124707,0.0,0.0
hsa04662_B_cell_receptor_signaling_pathway,0.265687314658579,1.6362210595566884,0.0,0.0
hsa05144_Malaria,0.25018957928934543,1.5294703490914545,0.0,0.0
hsa04670_Leukocyte_transendothelial_migration,0.24965496553882374,1.5597798281670308,0.0,0.0
hsa05416_Viral_myocarditis,0.25597934620550145,1.5580148036218655,0.0,0.0
hsa04672_Intestinal_immune_network_for_IgA_production,0.25400122710630135,1.5203610552613958,0.0,0.0
hsa05171_Coronavirus_disease,0.24261669564717714,1.5376251353160129,0.0,0.0
hsa05330_Allograft_rejection,0.2633008716515559,1.5939036759344638,0.0,0.0
hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications,0.24928508646032307,1.5562252266164784,0.0,0.0
hsa00860_Porphyrin_and_chlorophyll_metabolism,-0.3648830358647205,-2.0077540330960826,0.0,0.0008591343273257157
hsa00140_Steroid_hormone_biosynthesis,-0.3589295360054351,-2.0079640960908938,0.0,0.00088299916975143
hsa00450_Selenocompound_metabolism,-0.41408613439000863,-2.0233249727968676,0.0,0.0009082277174586137
hsa00780_Biotin_metabolism,-0.5227228846682042,-2.0234815343273307,0.022727272727272728,0.0009349402973838671
hsa04146_Peroxisome,-0.35674371641899966,-2.0257911375433615,0.0,0.0009632718215470146
hsa00360_Phenylalanine_metabolism,-0.4104693184091241,-2.0278526221839273,0.0,0.0009933740659703587
hsa00120_Primary_bile_acid_biosynthesis,-0.4122274817686474,-2.0365385239527978,0.0,0.00102541839067908
hsa00062_Fatty_acid_elongation,-0.3872379926331572,-2.049090887685537,0.0,0.0010595990037017158
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,-0.4332440801854669,-2.052039501558264,0.0,0.0010961369003810854
hsa00471_D-Glutamine_and_D-glutamate_metabolism,-0.4956561966751838,-2.055448538908356,0.0,0.0011352846468232671
"hsa00290_Valine,_leucine_and_isoleucine_biosynthesis",-0.5333743232733082,-2.0647136861301547,0.022727272727272728,0.00117733222633524
hsa00010_Glycolysis_/_Gluconeogenesis,-0.3730483864430505,-2.10280145908392,0.0,0.0012226142350404414
hsa01212_Fatty_acid_metabolism,-0.37876123111795795,-2.124989696791633,0.0,0.0012715188044420593
hsa00270_Cysteine_and_methionine_metabolism,-0.37890668570014996,-2.1463311234200657,0.0,0.001324498754627145
hsa00410_beta-Alanine_metabolism,-0.3944807355882573,-2.162646549446772,0.0,0.0013820856570022383
hsa00770_Pantothenate_and_CoA_biosynthesis,-0.40929415301525807,-2.1652308148111987,0.0,0.001444907732320522
hsa00061_Fatty_acid_biosynthesis,-0.42261644791712166,-2.1691300055788068,0.0,0.001513712862431023
hsa00785_Lipoic_acid_metabolism,-0.5613544931740354,-2.1730260611611434,0.022727272727272728,0.001589398505552574
hsa00030_Pentose_phosphate_pathway,-0.35811389589982995,-1.9446728866595817,0.0,0.0016301523133872555
hsa00920_Sulfur_metabolism,-0.4627709119531166,-2.1926080519145277,0.0,0.0016730510584763937
hsa04122_Sulfur_relay_system,-0.43014724544073135,-1.9637551466313898,0.0,0.0016730510584763937
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",-0.41026007508060897,-2.2521060774288557,0.0,0.00176599833950286
hsa01230_Biosynthesis_of_amino_acids,-0.4075732648240756,-2.3046489524930123,0.0,0.0018698805947677342
hsa00430_Taurine_and_hypotaurine_metabolism,-0.5023656283915534,-2.3204002375207313,0.0,0.0019867481319407175
hsa00900_Terpenoid_backbone_biosynthesis,-0.4415258299116786,-2.336357929648941,0.0,0.0021191980074034317
hsa00190_Oxidative_phosphorylation,-0.40567563540267143,-2.343821416711225,0.0,0.0022705692936465342
hsa00220_Arginine_biosynthesis,-0.4584479935325709,-2.3618282853868413,0.0,0.002445228470080883
"hsa00260_Glycine,_serine_and_threonine_metabolism",-0.43257818246588375,-2.380243818178627,0.0,0.00264899750925429
hsa00830_Retinol_metabolism,-0.338745602054086,-1.900487312478488,0.0,0.002701977459439376
hsa00760_Nicotinate_and_nicotinamide_metabolism,-0.3324922638614179,-1.8055392375397346,0.0,0.00270535915838736
hsa00240_Pyrimidine_metabolism,-0.29412032889524975,-1.6660556273160814,0.0,0.0027403422509527137
hsa00330_Arginine_and_proline_metabolism,-0.32477208774778593,-1.817323614364727,0.0,0.0027641713140044767
hsa05204_Chemical_carcinogenesis,-0.3004866987623099,-1.689049395066663,0.0,0.0027884184307939894
hsa00340_Histidine_metabolism,-0.3550719862577392,-1.8221882635575948,0.0,0.0028255973432045763
hsa00232_Caffeine_metabolism,-0.3725366153510339,-1.7007448111277794,0.020833333333333332,0.002838211617058168
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,-0.324353256038939,-1.7163328856787774,0.0,0.0028898154646410435
hsa00071_Fatty_acid_degradation,-0.42821012205046644,-2.3961306900137687,0.0,0.002889815464641044
hsa01040_Biosynthesis_of_unsaturated_fatty_acids,-0.34597242404939604,-1.8462919236067654,0.0,0.002889815464641044
hsa00561_Glycerolipid_metabolism,-0.2925470506006226,-1.6458050080712965,0.0,0.0029094074338928476
hsa00040_Pentose_and_glucuronate_interconversions,-0.31752367836826273,-1.7197209929432675,0.0,0.0029433305658381
hsa00670_One_carbon_pool_by_folate,-0.3737402961455991,-1.84639924487424,0.0,0.0029570204754466494
hsa04966_Collecting_duct_acid_secretion,-0.322670454771493,-1.7220926241611116,0.0,0.0029988651048161773
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",-0.4768274691554699,-1.8489895905604221,0.045454545454545456,0.003027425724862046
hsa00982_Drug_metabolism,-0.3071245329474631,-1.7311392669522172,0.0,0.003056535587601104
hsa01240_Biosynthesis_of_cofactors,-0.32534964812168027,-1.8699995191794885,0.0,0.0031012653766879497
hsa00790_Folate_biosynthesis,-0.3302479691679142,-1.7625338280537728,0.0,0.003116467657946224
hsa00072_Synthesis_and_degradation_of_ketone_bodies,-0.5097924781002562,-2.414607262980194,0.0,0.003178797011105148
hsa00480_Glutathione_metabolism,-0.31393936964757374,-1.766153463984447,0.0,0.003178797011105148
hsa00053_Ascorbate_and_aldarate_metabolism,-0.33338192523371957,-1.7791023597522626,0.0,0.003243670419495049
hsa03320_PPAR_signaling_pathway,-0.2876661368144874,-1.6365908945329712,0.0,0.003284756911475319
hsa00350_Tyrosine_metabolism,-0.3272640262225056,-1.7833875802953383,0.0,0.003311246886567863
hsa01200_Carbon_metabolism,-0.4218302088191857,-2.437546463769426,0.0,0.00353199667900572
hsa05142_Chagas_disease,0.23448370983847955,1.4717953588851012,0.0,0.003944034372590063
hsa00380_Tryptophan_metabolism,-0.44400062137454244,-2.470814236487523,0.0,0.003973496263881435
hsa05310_Asthma,0.2514143389876597,1.476798403204543,0.0,0.004108369138114649
hsa05140_Leishmaniasis,0.24290819396056704,1.4777009063049842,0.0,0.004286993883250068
hsa00051_Fructose_and_mannose_metabolism,-0.2906686452634421,-1.599222107418651,0.0,0.004377359818571023
